ecode,cname,fye,filingDate,address,stkno
E05408,株式会社アルテ サロン ホールディングス,2014-12-31,2015-03-25,神奈川県横浜市中区翁町一丁目４番１号（同所は登記上の本店所在地であり、実際の業務は「最寄りの連絡場所」で行っております。）,2406.0
E02800,ビーピー・カストロール株式会社,2014-12-31,2015-03-25,東京都品川区大崎一丁目11番２号ゲートシティ大崎イーストタワー,5015.0
E02932,ＹＫＴ株式会社,2014-12-31,2015-03-25,東京都渋谷区代々木五丁目７番５号,2693.0
E04816,応用地質株式会社,2014-12-31,2015-03-25,東京都千代田区神田美土代町７番地,9755.0
E00934,鳥居薬品株式会社,2014-12-31,2015-03-25,東京都中央区日本橋本町三丁目４番１号,4551.0
E02371,株式会社イトーキ,2014-12-31,2015-03-25,大阪市城東区今福東一丁目４番12号（同所は登記上の本店所在地であり、実際の業務は「最寄りの連絡場所」で行っております）,7972.0
E05235,ケネディクス株式会社,2014-12-31,2015-03-25,東京都中央区日本橋兜町６番５号,4321.0
E02103,株式会社ＳＵＭＣＯ,2014-12-31,2015-03-25,東京都港区芝浦一丁目２番１号,3436.0
E02120,株式会社Ｃ＆Ｇシステムズ,2014-12-31,2015-03-25,東京都品川区東品川二丁目２番24号,6633.0
E05625,株式会社 ジェイ エイ シー リクルートメント,2014-12-31,2015-03-25,東京都千代田区神田神保町一丁目105番地神保町三井ビルディング14階,2124.0
E23818,チムニー株式会社,2014-12-31,2015-03-25,東京都墨田区横網一丁目３番20号,3178.0
E04224,ＳＢＳホールディングス株式会社,2014-12-31,2015-03-25,東京都墨田区太平四丁目１番３号,2384.0
E00883,花王株式会社,2014-12-31,2015-03-25,東京都中央区日本橋茅場町一丁目14番10号,4452.0
E23634,アミタホールディングス株式会社,2014-12-31,2015-03-25,京都府京都市中京区烏丸通押小路上ル秋野々町535番地（平成27年３月24日開催の第５期定時株主総会において、定款に定める本店所在地を京都府京都市に変更し、同日付で東京都千代田区九段北三丁目２番４号から上記に移転しております。また、上記は登記上の本店所在地であり、実際の本社業務は下記の場所で行っております。）,2195.0
E03342,株式会社ベルパーク,2014-12-31,2015-03-25,東京都千代田区平河町一丁目４番12号,9441.0
E00987,カルナバイオサイエンス株式会社,2014-12-31,2015-03-25,神戸市中央区港島南町一丁目５番５号,4572.0
E03359,株式会社ダイナック,2014-12-31,2015-03-25,東京都新宿区新宿一丁目８番１号,2675.0
E22621,テラ株式会社,2014-12-31,2015-03-25,東京都港区赤坂一丁目12番32号,2191.0
E03478,株式会社ペッパーフードサービス,2014-12-31,2015-03-25,東京都墨田区吾妻橋三丁目３番２号,3053.0
E05066,株式会社東計電算,2014-12-31,2015-03-26,神奈川県川崎市中原区市ノ坪150番地,4746.0
E30929,株式会社エラン,2014-12-31,2015-03-26,長野県松本市出川町15番12号,6099.0
E30998,アトラ株式会社,2014-12-31,2015-03-26,大阪市西区立売堀四丁目６番９号,6029.0
E02991,コスモ・バイオ株式会社,2014-12-31,2015-03-26,東京都江東区東陽二丁目２番20号,3386.0
E01015,アース製薬株式会社,2014-12-31,2015-03-26,東京都千代田区神田司町二丁目12番地１,4985.0
E04954,株式会社アルプス技研,2014-12-31,2015-03-26,神奈川県横浜市西区みなとみらい二丁目３番５号,4641.0
E05726,ＣＤＳ株式会社,2014-12-31,2015-03-26,愛知県岡崎市舞木町字市場46番地,2169.0
E27047,株式会社enish,2014-12-31,2015-03-26,東京都港区六本木六丁目10番１号,3667.0
E01205,株式会社倉元製作所,2014-12-31,2015-03-26,宮城県栗原市若柳武鎗字花水前１番地１,5216.0
E00668,ダイナパック株式会社,2014-12-31,2015-03-26,名古屋市中区錦三丁目14番15号（カゴメビル）,3947.0
E01714,荏原実業株式会社,2014-12-31,2015-03-26,東京都中央区銀座七丁目14番１号,6328.0
E00559,帝国繊維株式会社,2014-12-31,2015-03-26,東京都中央区日本橋二丁目１番10号,3302.0
E31093,株式会社カヤック,2014-12-31,2015-03-26,神奈川県鎌倉市小町二丁目14番７号（上記は登記上の本店所在地であり、実際の業務は下記の場所で行っております。）,3904.0
E04005,株式会社シノケングループ,2014-12-31,2015-03-26,福岡市中央区天神一丁目１番１号,8909.0
E21740,株式会社電算システム,2014-12-31,2015-03-26,岐阜県岐阜市日置江一丁目58番地,3630.0
E02301,キヤノン電子株式会社,2014-12-31,2015-03-26,埼玉県秩父市下影森1248番地,7739.0
E05282,応用技術株式会社,2014-12-31,2015-03-26,大阪市北区本庄東一丁目１番10号,4356.0
E02402,フジコピアン株式会社,2014-12-31,2015-03-26,大阪市西淀川区歌島四丁目８番43号(同所は登記上の本店所在地であり、実際の業務は下記で行っております。)大阪市西淀川区御幣島五丁目４番14号,7957.0
E00762,多木化学株式会社,2014-12-31,2015-03-26,兵庫県加古川市別府町緑町２番地,4025.0
E01114,株式会社ニチリン,2014-12-31,2015-03-26,神戸市中央区江戸町98番地１（同所は登記上の本店所在地で実際の業務は「最寄りの連絡場所」で行っております。）,5184.0
E02062,ザインエレクトロニクス株式会社,2014-12-31,2015-03-26,東京都千代田区神田美土代町９番地１,6769.0
E02644,キヤノンマーケティングジャパン株式会社,2014-12-31,2015-03-26,東京都港区港南二丁目16番６号,8060.0
E00860,アグロ カネショウ株式会社,2014-12-31,2015-03-26,東京都港区赤坂四丁目２番19号,4955.0
E01141,ダントーホールディングス株式会社,2014-12-31,2015-03-26,兵庫県南あわじ市北阿万伊賀野1290番地,5337.0
E04516,静岡瓦斯株式会社,2014-12-31,2015-03-26,静岡県静岡市駿河区八幡一丁目５番38号,9543.0
E04603,東京都競馬株式会社,2014-12-31,2015-03-26,東京都大田区大森北一丁目６番８号,9672.0
E03859,東京建物株式会社,2014-12-31,2015-03-26,東京都中央区八重洲一丁目９番９号,8804.0
